[DEBUG][06-05 16:20:17,660][org.springframework.boot.ApplicationServletEnvironment]Activating profiles []
[INFO][06-05 16:20:18,379][com.fdzc.springboot01.DtshApplication]Starting DtshApplication using Java 1.8.0_271 on DESKTOP-9N4A7RN with PID 636 (C:\Users\chen\IdeaProjects\dtsh\target\classes started by chen in C:\Users\chen\IdeaProjects\dtsh)
[DEBUG][06-05 16:20:18,379][com.fdzc.springboot01.DtshApplication]Running with Spring Boot v2.6.13, Spring v5.3.23
[INFO][06-05 16:20:18,379][com.fdzc.springboot01.DtshApplication]No active profile set, falling back to 1 default profile: "default"
[DEBUG][06-05 16:20:18,395][org.springframework.boot.SpringApplication]Loading source class com.fdzc.springboot01.DtshApplication
[DEBUG][06-05 16:20:18,801][org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext]Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@409bf450
[DEBUG][06-05 16:20:20,020][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG][06-05 16:20:20,379][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
[DEBUG][06-05 16:20:22,316][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\config\CorsConfig.class]
[DEBUG][06-05 16:20:22,551][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\AdminController.class]
[DEBUG][06-05 16:20:22,551][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\CarbonController.class]
[DEBUG][06-05 16:20:22,566][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\GoodsController.class]
[DEBUG][06-05 16:20:22,598][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\GroupController.class]
[DEBUG][06-05 16:20:22,613][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\ShareController.class]
[DEBUG][06-05 16:20:22,629][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\TaskController.class]
[DEBUG][06-05 16:20:22,645][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\TravelController.class]
[DEBUG][06-05 16:20:22,660][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\controller\UserController.class]
[DEBUG][06-05 16:20:22,707][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Admin.class]
[DEBUG][06-05 16:20:22,738][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Buy.class]
[DEBUG][06-05 16:20:22,816][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Chat.class]
[DEBUG][06-05 16:20:22,863][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Goods.class]
[DEBUG][06-05 16:20:22,926][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Group.class]
[DEBUG][06-05 16:20:22,988][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Share.class]
[DEBUG][06-05 16:20:23,066][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Task.class]
[DEBUG][06-05 16:20:23,098][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\Travel.class]
[DEBUG][06-05 16:20:23,129][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\User.class]
[DEBUG][06-05 16:20:23,207][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\UserCarbon.class]
[DEBUG][06-05 16:20:23,301][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\UserGroup.class]
[DEBUG][06-05 16:20:23,363][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\entity\UserTask.class]
[DEBUG][06-05 16:20:23,957][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\AdminService.class]
[DEBUG][06-05 16:20:24,020][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\CarbonService.class]
[DEBUG][06-05 16:20:24,113][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\GoodsService.class]
[DEBUG][06-05 16:20:24,129][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\GroupService.class]
[DEBUG][06-05 16:20:24,145][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\ShareService.class]
[DEBUG][06-05 16:20:24,223][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\TaskService.class]
[DEBUG][06-05 16:20:24,223][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\TravelService.class]
[DEBUG][06-05 16:20:24,254][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\service\UserService.class]
[DEBUG][06-05 16:20:29,754][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
[DEBUG][06-05 16:20:29,754][org.springframework.boot.autoconfigure.AutoConfigurationPackages]@EnableAutoConfiguration was declared on a class in the package 'com.fdzc.springboot01'. Automatic @Repository and @Entity scanning is enabled.
[DEBUG][06-05 16:20:29,754][com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration]Searching for mappers annotated with @Mapper
[DEBUG][06-05 16:20:29,769][com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration]Using auto-configuration base package 'com.fdzc.springboot01'
[DEBUG][06-05 16:20:29,832][org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration]Searching for mappers annotated with @Mapper
[DEBUG][06-05 16:20:29,863][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[DEBUG][06-05 16:20:29,863][org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration]Using auto-configuration base package 'com.fdzc.springboot01'
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\AdminMapper.class]
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\BuyMapper.class]
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\ChatMapper.class]
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\GoodsMapper.class]
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\GroupMapper.class]
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\ShareMapper.class]
[DEBUG][06-05 16:20:29,910][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\TaskMapper.class]
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\TravelMapper.class]
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserCarbonMapper.class]
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserGroupMapper.class]
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserMapper.class]
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserTaskMapper.class]
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'adminMapper' and 'com.fdzc.springboot01.mapper.AdminMapper' mapperInterface
[DEBUG][06-05 16:20:29,926][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'adminMapper'.
